Month,Day,DoY,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
2,2,33,14.35,1.00,24.80,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.05,45.40,14.13,1.00,92.57,1.00,11.07,7.09,0.07,1.00,10.99,-0.56,1.00,7.65,-2.31,1.00,13.38,-3.00,1.00,10.09
2,3,34,7.05,1.00,24.13,1.00,-9999.00,-9999.00,-9999.00,-9999.00,50.16,46.07,0.17,1.00,51.80,1.00,10.80,7.36,3.49,1.00,7.31,-0.09,1.00,7.45,2.36,1.00,8.44,-0.31,1.00,7.67
2,4,35,10.20,1.00,24.06,1.00,-9999.00,-9999.00,-9999.00,-9999.00,11.43,45.88,6.69,1.00,67.06,1.00,10.11,7.42,1.69,0.98,8.43,1.03,1.00,6.39,0.40,1.00,9.71,-0.27,1.00,7.70
2,5,36,17.95,1.00,25.19,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.54,45.32,34.28,1.00,127.69,1.00,11.10,7.68,-1.51,0.92,12.61,-1.56,1.00,9.23,-3.31,1.00,14.42,-1.68,1.00,9.35
2,6,37,16.43,1.00,25.84,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.92,44.99,32.45,1.00,122.15,1.00,11.22,8.07,-0.44,0.94,11.66,-1.34,1.00,9.41,-2.82,1.00,14.04,-2.33,1.00,10.40
2,7,38,16.90,1.00,26.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,8.38,45.20,28.73,1.00,124.38,1.00,11.68,8.52,-0.52,1.00,12.20,-1.27,1.00,9.79,-3.69,1.00,15.37,-2.89,1.00,11.41
2,8,39,14.81,1.00,26.02,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.40,45.50,17.29,1.00,119.39,1.00,11.60,8.45,0.06,1.00,11.54,0.18,1.00,8.27,-3.14,1.00,14.74,-1.97,1.00,10.42
2,9,40,16.09,1.00,26.13,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.13,44.99,25.50,1.00,104.92,1.00,11.65,8.18,-0.48,1.00,12.13,-2.24,1.00,10.42,-3.57,1.00,15.22,-4.01,1.00,12.19
2,10,41,14.87,1.00,25.12,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.56,44.67,28.53,1.00,111.53,1.00,11.12,7.75,-0.14,1.00,11.27,-0.06,1.00,7.81,-0.61,1.00,11.73,-0.31,1.00,8.06
2,11,42,14.87,1.00,24.43,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.06,44.63,25.06,1.00,106.39,1.00,10.79,7.42,-0.19,1.00,10.99,-0.05,1.00,7.47,-0.24,1.00,11.03,-0.05,1.00,7.47
2,12,43,18.15,0.96,25.38,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.27,44.72,30.15,1.00,121.38,1.00,11.52,7.75,-1.47,0.92,12.99,-1.85,1.00,9.60,-2.03,1.00,13.56,-1.85,1.00,9.60
2,13,44,14.36,0.96,24.91,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.27,44.49,20.62,1.00,119.89,1.00,10.86,7.63,0.20,0.92,10.65,-1.54,1.00,9.17,0.09,1.00,10.76,-1.85,1.00,9.48
2,14,45,14.07,1.00,25.24,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.21,44.34,19.42,1.00,92.10,1.00,10.41,7.77,0.97,1.00,9.43,-1.65,1.00,9.41,-0.53,1.00,10.94,-2.12,1.00,9.89
2,15,46,10.42,1.00,24.31,1.00,-9999.00,-9999.00,-9999.00,-9999.00,8.13,45.46,15.85,1.00,61.72,1.00,8.95,7.27,0.98,1.00,7.98,-1.04,1.00,8.31,0.40,1.00,8.56,-1.21,1.00,8.49
2,16,47,10.31,1.00,24.72,1.00,-9999.00,-9999.00,-9999.00,-9999.00,16.00,45.46,12.91,1.00,74.83,1.00,9.57,7.75,0.20,1.00,9.37,-1.22,1.00,8.97,-0.36,1.00,9.93,-1.39,1.00,9.14
2,17,48,15.66,1.00,24.44,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.51,45.70,23.51,1.00,110.60,1.00,10.28,7.82,-1.19,1.00,11.47,-1.59,1.00,9.41,-1.00,1.00,11.28,-1.55,1.00,9.37
2,18,49,15.68,1.00,26.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,45.07,24.66,1.00,116.59,1.00,10.92,8.65,-1.37,1.00,12.29,0.63,1.00,8.01,-2.79,1.00,13.71,-1.67,1.00,10.31
2,19,50,13.19,1.00,24.80,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.25,44.71,18.87,1.00,102.77,1.00,10.48,8.43,0.06,1.00,10.42,0.75,1.00,7.68,0.37,1.00,10.11,0.80,1.00,7.63
2,20,51,14.83,1.00,25.56,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,44.45,20.97,1.00,92.53,1.00,10.64,8.69,-0.71,1.00,11.35,-0.47,1.00,9.16,-0.93,1.00,11.58,-0.70,1.00,9.39
2,21,52,6.07,1.00,23.57,1.00,-9999.00,-9999.00,-9999.00,-9999.00,13.97,45.18,0.39,1.00,36.95,1.00,9.75,8.09,3.39,1.00,6.36,0.43,1.00,7.66,4.17,1.00,5.58,0.51,1.00,7.59
2,22,53,13.75,1.00,24.65,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.92,45.42,11.38,1.00,86.60,1.00,10.34,8.54,-0.64,1.00,10.98,-1.36,1.00,9.90,-0.16,1.00,10.50,-1.23,1.00,9.77
2,23,54,11.65,1.00,23.75,1.00,-9999.00,-9999.00,-9999.00,-9999.00,14.61,45.49,9.01,1.00,77.48,1.00,9.82,8.56,-0.42,1.00,10.24,-1.97,1.00,10.53,0.50,1.00,9.32,-1.94,1.00,10.51
2,24,55,15.13,1.00,24.47,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,45.50,18.57,1.00,99.12,1.00,9.89,8.62,-1.76,1.00,11.65,-2.09,1.00,10.71,-1.78,1.00,11.67,-2.22,1.00,10.84
2,25,56,17.54,1.00,24.78,1.00,-9999.00,-9999.00,-9999.00,-9999.00,24.64,45.40,27.36,1.00,110.19,1.00,9.19,8.73,-2.62,1.00,11.81,-2.79,1.00,11.52,-2.20,1.00,11.39,-2.90,1.00,11.62
2,26,57,13.71,1.00,23.92,1.00,-9999.00,-9999.00,-9999.00,-9999.00,14.73,45.60,24.34,1.00,77.43,1.00,8.59,8.20,-0.15,1.00,8.75,-1.54,1.00,9.75,0.71,1.00,7.89,-1.38,1.00,9.59
2,27,58,15.00,1.00,24.73,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.13,45.39,18.13,1.00,98.79,1.00,9.08,8.61,-1.30,1.00,10.37,-1.89,1.00,10.50,-1.13,1.00,10.20,-2.06,1.00,10.67
2,28,59,12.61,1.00,24.57,1.00,-9999.00,-9999.00,-9999.00,-9999.00,28.19,45.91,14.77,1.00,86.17,1.00,9.51,8.78,0.43,1.00,9.08,-2.07,1.00,10.85,0.44,1.00,9.07,-2.15,1.00,10.92
3,1,60,6.40,1.00,23.64,1.00,-9999.00,-9999.00,-9999.00,-9999.00,10.16,45.57,-0.12,1.00,37.95,1.00,9.25,8.40,2.82,1.00,6.43,-1.18,1.00,9.58,3.38,1.00,5.86,-1.19,1.00,9.59
3,2,61,9.29,1.00,24.47,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.79,45.29,10.92,1.00,55.46,1.00,10.68,8.51,1.09,1.00,9.60,-2.32,1.00,10.83,0.82,1.00,9.87,-2.42,1.00,10.93
3,3,62,16.00,1.00,25.72,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.14,45.21,13.42,1.00,98.55,1.00,13.55,8.82,0.47,1.00,13.08,-0.55,1.00,9.37,-0.57,1.00,14.12,-0.52,1.00,9.34
3,4,63,14.04,1.00,25.71,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.83,44.99,27.30,1.00,105.63,1.00,13.30,8.95,0.58,1.00,12.72,0.11,1.00,8.85,-0.31,1.00,13.61,0.11,1.00,8.85
3,5,64,16.35,1.00,25.87,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.91,44.79,20.52,1.00,103.74,1.00,12.66,9.09,-0.23,1.00,12.89,-2.25,1.00,11.35,-1.83,1.00,14.48,-2.58,1.00,11.68
