Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
11,8,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
12,8,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
13,8,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
14,8,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
15,8,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
16,8,15.44,0.11,26.23,0.11,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.82,0.18,114.56,0.18,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
17,8,15.33,0.00,26.20,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.43,0.00,110.75,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
18,8,15.59,0.00,26.24,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.95,0.00,114.31,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
19,8,15.42,0.00,26.24,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.41,0.00,112.27,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
20,8,15.31,0.00,26.22,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.19,0.00,110.77,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
21,8,15.59,0.00,26.23,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,19.48,0.00,114.61,0.00,10.29,5.34,1.42,0.00,8.87,-1.62,0.00,6.96,1.05,0.00,9.23,-1.44,0.00,6.78
22,8,15.49,0.00,26.24,0.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,18.37,0.00,112.24,0.00,10.29,5.35,1.52,0.00,8.77,-1.63,0.00,6.98,1.52,0.00,8.77,-1.63,0.00,6.98
23,8,15.28,0.39,26.20,0.39,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,17.58,0.39,109.76,0.39,10.28,6.06,1.24,0.39,9.04,-1.64,0.39,7.70,1.06,0.39,9.22,-1.62,0.39,7.68
24,8,15.18,1.00,26.41,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.73,45.00,18.86,1.00,94.86,1.00,11.92,6.57,2.43,1.00,9.49,-0.06,1.00,6.63,2.78,1.00,9.13,-0.12,1.00,6.69
25,8,13.11,1.00,24.98,1.00,-9999.00,-9999.00,-9999.00,-9999.00,11.21,45.75,17.58,1.00,75.18,1.00,11.93,6.62,2.43,1.00,9.50,-0.32,1.00,6.95,1.34,1.00,10.59,-0.29,1.00,6.92
26,8,15.68,1.00,26.30,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.84,45.46,20.92,1.00,96.58,1.00,15.53,5.30,2.31,0.99,13.23,-1.65,1.00,6.95,-1.37,1.00,16.91,-1.59,1.00,6.89
27,8,18.47,1.00,27.58,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.46,44.82,23.11,1.00,114.98,1.00,13.54,5.21,0.77,0.77,12.77,-1.51,1.00,6.72,0.21,1.00,13.33,-1.47,1.00,6.68
28,8,19.10,1.00,27.07,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.02,44.51,22.08,1.00,115.30,1.00,9.95,6.56,0.62,1.00,9.33,-0.92,1.00,7.48,0.95,1.00,8.99,-0.91,1.00,7.47
29,8,19.65,1.00,26.70,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.02,45.67,27.15,1.00,125.05,1.00,8.39,5.21,-0.01,1.00,8.41,-1.70,1.00,6.91,-0.50,1.00,8.89,-1.68,1.00,6.88
30,8,19.08,1.00,26.19,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.97,44.79,24.78,1.00,122.62,1.00,12.27,6.34,0.70,1.00,11.57,-1.60,1.00,7.94,0.22,1.00,12.05,-1.65,1.00,7.99
31,8,21.08,1.00,26.76,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.41,43.81,27.76,1.00,126.27,1.00,12.17,6.77,1.79,1.00,10.39,-0.91,1.00,7.68,1.25,1.00,10.92,-0.98,1.00,7.75
32,8,19.38,1.00,26.00,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.60,44.57,23.99,1.00,126.81,1.00,12.07,6.91,1.43,1.00,10.64,-0.95,1.00,7.86,0.76,1.00,11.31,-1.01,1.00,7.93
33,8,19.53,1.00,25.92,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.81,43.57,27.65,1.00,124.80,1.00,10.19,6.85,-0.03,1.00,10.22,-2.23,1.00,9.08,0.12,1.00,10.07,-2.20,1.00,9.05
34,8,18.58,1.00,26.14,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.83,43.91,24.26,1.00,116.47,1.00,10.06,5.68,0.54,1.00,9.52,-1.98,1.00,7.66,-0.45,1.00,10.51,-2.18,1.00,7.86
35,8,17.04,1.00,24.89,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.97,44.43,18.86,1.00,111.28,1.00,12.26,5.56,0.38,0.99,11.89,-2.60,1.00,8.16,-0.81,1.00,13.07,-2.70,1.00,8.26
36,8,18.53,1.00,26.58,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.13,43.61,20.03,1.00,120.43,1.00,15.04,5.87,0.49,1.00,14.55,-3.28,1.00,9.15,-1.86,1.00,16.89,-3.21,1.00,9.08
37,8,19.69,1.00,27.00,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.06,41.64,26.50,1.00,126.83,1.00,16.52,6.28,1.29,1.00,15.23,-3.03,1.00,9.31,-2.11,1.00,18.63,-3.41,1.00,9.69
38,8,15.69,0.99,26.46,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.91,41.11,14.31,0.99,109.02,0.99,14.37,6.34,0.81,1.00,13.56,-2.91,1.00,9.25,-1.77,1.00,16.15,-3.20,1.00,9.54
39,8,15.67,0.99,26.96,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.16,43.67,14.51,1.00,108.15,1.00,10.33,6.00,-0.36,1.00,10.69,-2.65,1.00,8.65,-2.21,1.00,12.54,-3.04,1.00,9.03
40,8,14.69,0.98,25.75,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.97,44.23,20.54,1.00,109.52,1.00,9.53,6.26,1.02,1.00,8.51,-1.05,1.00,7.31,0.46,1.00,9.07,-1.16,1.00,7.42
41,8,15.15,1.00,26.79,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.83,44.17,17.41,1.00,105.32,1.00,12.46,5.87,0.50,1.00,11.96,-2.09,1.00,7.96,-0.41,1.00,12.87,-2.34,1.00,8.21
42,8,16.77,1.00,27.56,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.10,41.82,21.49,1.00,111.92,1.00,10.86,5.31,-0.28,1.00,11.14,-3.06,1.00,8.37,-1.94,1.00,12.80,-3.14,1.00,8.45
43,8,15.24,1.00,27.06,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.44,39.96,11.72,1.00,107.39,1.00,7.63,6.09,-1.01,1.00,8.63,-2.86,1.00,8.95,-1.31,1.00,8.94,-2.88,1.00,8.97
44,8,13.83,1.00,25.64,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.02,39.32,13.43,1.00,97.95,1.00,11.01,6.91,-0.60,1.00,11.60,-2.45,1.00,9.36,-0.48,1.00,11.49,-2.49,1.00,9.40
45,8,14.09,1.00,24.77,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.81,44.46,11.67,1.00,100.04,1.00,10.96,7.69,0.92,1.00,10.04,-0.90,1.00,8.59,-0.23,1.00,11.19,-1.05,1.00,8.75
46,6,15.48,1.00,24.97,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.12,42.26,13.96,0.99,112.80,0.99,12.59,9.00,0.41,0.99,12.18,-1.61,0.99,10.62,-0.42,0.99,13.01,-2.00,0.99,11.01
